brand,name,model-name,image-src,price,sale,rate,no-reviews,display-size,ram,HDD,processor,graphics-card,link-href,operating-system,SSD,rate-weight,site
Lenovo,"Lenovo Legion 7 82n600Q3ED Ryzen 9 5900HX, 32GB Ram, 2x 1TB SSD, NVIDIA GeForce RTX 3080 - Storm Grey","Lenovo Legion 7 82n600Q3ED Ryzen 9 5900HX, 32GB Ram, 2x 1TB SSD, NVIDIA GeForce RTX 3080 - Storm Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/8/2/82n600q3ed-1.jpg,95810.0,11.53,0.0,0.0,16 inches,32 GP,1TB,AMD,NVIDIA® GeForce RTX,https://dream2000.com/en/lenovo-legion-7-82n600q3ed-ryzen-9-5900hx-32gb-ram-2x-1tb-ssd-nvidia-geforce-rtx-3080-storm-grey.html,NONE,NONE,0.0,dream2000
Hp,"Hp Pavilion Laptop, Intel® Core™ i5-1135G7 , 8GB Ram, 512GB SSD, Nvidia MX350 2GB, 15.6"", 15-EG0062NE","Hp Pavilion Laptop, Intel® Core™ i5-1135G7 , 8GB Ram, 512GB SSD, Nvidia MX350 2GB, 15.6"", 15-EG0062NE",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-pavilion-laptop--i5-8g-512ssd-nvidia--mx-350-2g-15.6-fhd-15-15-eg0062ne-1.jpg,27300.0,11.36,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i5,NVIDIA® GeForce MX,https://dream2000.com/en/hp-pavilion-laptop-core-i5-8gb-ram-512gb-ssd-nvidia-mx350-2gb-15-6-inch-15-eg0062ne.html,NONE,NONE,0.0,dream2000
HP,"HP ProBook 450 G9 Intel® Core™ i7-1255U - 8G - 512G SSD - NVIDIA® GeForce® MX570 - 15.6"" FHD - Silver","HP ProBook 450 G9 Intel® Core™ i7-1255U - 8G - 512G SSD - NVIDIA® GeForce® MX570 - 15.6"" FHD - Silver",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-probook-450-g9--00000.jpg,37000.0,11.48,0.0,0.0,15.6 inches,NONE,512GB,intel Core i7,NVIDIA® GeForce MX,https://dream2000.com/en/hp-probook-450-g9-intelr-coretm-i7-1255u-8g-512g-ssd-nvidiar-geforcer-mx570-15-6-fhd-silver.html,NONE,NONE,0.0,dream2000
Asus,"Asus Zenbook UX5304VA-OLED517W Intel® Core™i7-1355U,16GB, 512GB SSD, Intel® Iris Xe Graphics, 13.3"" 2.8K OLED, Win11 - Silver","Asus Zenbook UX5304VA-OLED517W Intel® Core™i7-1355U,16GB, 512GB SSD, Intel® Iris Xe Graphics, 13.3"" 2.8K OLED, Win11 - Silver",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/u/x/ux5304va-oled517w-00000.jpg,55499.0,11.48,0.0,0.0,13.3 inches,16 GP,512GB,NONE,Internal Intel card,https://dream2000.com/en/asus-zenbook-ux5304va-oled517w-intelr-coretmi7-1355u-16gb-512gb-ssd-intelr-iris-xe-graphics-13-3-2-8k-oled-win11-silver.html,Windows,NONE,0.0,dream2000
Asus,"Asus ROG Ally Rayzen Z1, 16GB, 512GB,  AMD Radeon, 7 inch 120HZ, Win11 - RC71L-NH022W","Asus ROG Ally Rayzen Z1, 16GB, 512GB,  AMD Radeon, 7 inch 120HZ, Win11 - RC71L-NH022W",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/a/s/asus-rog-ally-rayzen-z1-9999.jpg,36999.0,11.48,0.0,0.0,NONE,16 GP,512GB,NONE,AMD Radeon™,https://dream2000.com/en/asus-rog-ally-rayzen-z1-16gb-512gb-amd-radeon-7-inch-120hz-win11-rc71l-nh022w.html,Windows,NONE,0.0,dream2000
Lenovo,"Lenovo IdeaPad Slim 3 15AMN8 82XQ00BNED Ryzen 5- 7520U, 8GB, 512GB SSD, AMD Radeon™  ,15.6"" FHD,  Win11, Arctic Grey","Lenovo IdeaPad Slim 3 15AMN8 82XQ00BNED Ryzen 5- 7520U, 8GB, 512GB SSD, AMD Radeon™  ,15.6"" FHD,  Win11, Arctic Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-ideapad-slim-3-15amn8-82xq00bned.jpg,22199.0,11.2,0.0,0.0,15.6 inches,8 GP,512GB,AMD,AMD Radeon™,https://dream2000.com/en/lenovo-ideapad-slim-3-15amn8-82xq00bned-ryzen-5-7520u-8gb-512gb-ssd-amd-radeontm-15-6-fhd-win11-arctic-grey.html,Windows,NONE,0.0,dream2000
Lenovo,"Lenovo 82XV00JNED-LOQ 15IRH8, Intel® Core™ i7-13620H, 16GB, 512 GB SSD,  NVIDIA® GeForce RTX 4060 , 15.6"" FHD, win 11 - Storm Grey","Lenovo 82XV00JNED-LOQ 15IRH8, Intel® Core™ i7-13620H, 16GB, 512 GB SSD,  NVIDIA® GeForce RTX 4060 , 15.6"" FHD, win 11 - Storm Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-82xv00jned-loq-15irh8-8.jpg,58199.0,11.55,0.0,0.0,15.6 inches,16 GP,512GB,intel Core i7,NVIDIA® GeForce RTX,https://dream2000.com/en/lenovo-82xv00jned-loq-15irh8-intelr-coretm-i7-13620h-16gb-512-gb-ssd-nvidiar-geforce-rtx-15-6-fhd-win-11-storm-grey.html,Windows,NONE,0.0,dream2000
Lenovo,"Lenovo IdeaPad 5 15IAL7  2SF00GGED Intel® Core™ i5-1235U 16GB - 512GB SSD - NVIDIA® GeForce MX550 -15.6"" FHD - Storm Grey","Lenovo IdeaPad 5 15IAL7  2SF00GGED Intel® Core™ i5-1235U 16GB - 512GB SSD - NVIDIA® GeForce MX550 -15.6"" FHD - Storm Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-ideapad-5-15ial7--2sf00gged-88.jpg,28499.0,11.49,0.0,0.0,15.6 inches,16 GP,512GB,intel Core i5,NVIDIA® GeForce MX,https://dream2000.com/en/lenovo-ideapad-5-15ial7-2sf00gged-intelr-coretm-i5-1235u-16gb-512gbssd-nvidiar-geforce-mx550-15-6-fhd-storm-grey.html,NONE,NONE,0.0,dream2000
Lenovo,"Lenovo 2XV007BED-LOQ 15IRH8 Intel® Core™ i7-13620H,16GB, 512SSD, NVIDIA® GeForce RTX™ 4050, 15.6"" FHD - Storm Grey","Lenovo 2XV007BED-LOQ 15IRH8 Intel® Core™ i7-13620H,16GB, 512SSD, NVIDIA® GeForce RTX™ 4050, 15.6"" FHD - Storm Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-2xv007bed-loq-15irh8-99.jpg,52999.0,11.67,0.0,0.0,15.6 inches,16 GP,512GB,intel Core i7,NVIDIA® GeForce RTX,https://dream2000.com/en/lenovo-2xv007bed-loq-15irh8-intelr-coretm-i7-13620h-16g-b-512ssd-nvidiar-geforce-rtxtm-4050-15-6-fhd-storm-grey.html,NONE,NONE,0.0,dream2000
Lenovo,"Lenovo IdeaPad 1 15IAU7, 82QD007WED Intel® Core™ i5-1235U, 8GB, 512SSD, Intel® Iris® Xe Graphics, 15.6"" FHD, Win11 - Cloud Grey","Lenovo IdeaPad 1 15IAU7, 82QD007WED Intel® Core™ i5-1235U, 8GB, 512SSD, Intel® Iris® Xe Graphics, 15.6"" FHD, Win11 - Cloud Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-ideapad-1-15iau7-9.jpg,23499.0,11.65,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i5,Internal Intel card,https://dream2000.com/en/lenovo-ideapad-1-15iau7-82qd007wed-intelr-coretm-i5-1235u-8gb-512ssd-intelr-irisr-xe-graphics-15-6-fhd-win11-cloud-grey.html,Windows,NONE,0.0,dream2000
